trade_date,ts_code,calibrated,c_struct,c_consensus,c_history,total_confidence,level,gates,future_5d_ret,season
2026-07-01,000400.SZ,20.8,50.0,45.0,52.0,48.7,C,-,-4.985941123213255,chaos
2026-07-01,000407.SZ,20.1,25.0,80.0,90,60.5,B,-,0.5317921081267718,chaos
2026-07-01,000407.SZ,20.1,25.0,80.0,90,60.5,B,-,0.5317921081267718,chaos
2026-07-01,000408.SZ,5.0,25.0,80.0,85.0,59.2,C,-,3.2788323414427056,chaos
2026-07-01,000408.SZ,5.0,25.0,80.0,85.0,59.2,C,-,3.2788323414427056,chaos
2026-07-01,000415.SZ,39.2,50.0,30.0,81.8,51.0,C,-,5.30113504734131,chaos
2026-07-01,000415.SZ,39.2,50.0,30.0,81.8,51.0,C,-,5.30113504734131,chaos
2026-07-01,000420.SZ,21.4,25.0,80.0,89.6,60.4,B,-,-6.419763213165686,chaos
2026-07-01,000420.SZ,21.4,25.0,80.0,89.6,60.4,B,-,-6.419763213165686,chaos
2026-07-01,000421.SZ,30.7,50.0,30.0,50.3,43.1,C,-,1.1764114430206973,chaos
2026-07-01,000421.SZ,30.7,50.0,30.0,50.3,43.1,C,-,1.1764114430206973,chaos
2026-07-01,000422.SZ,50.0,30.0,60.0,90,55.5,C,-,-13.355458049536285,chaos
2026-07-01,000422.SZ,50.0,30.0,60.0,90,55.5,C,-,-13.355458049536285,chaos
2026-07-01,000423.SZ,39.0,50.0,30.0,46.6,42.2,C,-,2.063366214171647,chaos
2026-07-01,000423.SZ,39.0,50.0,30.0,46.6,42.2,C,-,2.063366214171647,chaos
2026-07-01,000425.SZ,5.0,50.0,45.0,66.8,52.5,C,-,6.597092789826897,chaos
2026-07-01,000425.SZ,5.0,50.0,45.0,66.8,52.5,C,-,6.597092789826897,chaos
2026-07-01,000426.SZ,5.0,25.0,80.0,90,60.5,B,confidence_overrated,0.5750607561010534,chaos
2026-07-01,000426.SZ,5.0,25.0,80.0,90,60.5,B,confidence_overrated,0.5750607561010534,chaos
2026-07-01,000430.SZ,30.4,40.0,45.0,86.2,53.3,C,-,-4.748905970083783,chaos
2026-07-01,000430.SZ,30.4,40.0,45.0,86.2,53.3,C,-,-4.748905970083783,chaos
2026-07-01,000504.SZ,33.8,30.0,45.0,67.5,44.6,C,-,5.675700546355222,chaos
2026-07-01,000504.SZ,33.8,30.0,45.0,67.5,44.6,C,-,5.675700546355222,chaos
2026-07-01,000507.SZ,23.1,50.0,45.0,68.6,52.9,C,-,-1.0570718597065043,chaos
2026-07-01,000507.SZ,23.1,50.0,45.0,68.6,52.9,C,-,-1.0570718597065043,chaos
2026-07-01,000510.SZ,48.0,50.0,45.0,86.6,57.4,C,-,-21.52657330591041,chaos
2026-07-01,000510.SZ,48.0,50.0,45.0,86.6,57.4,C,-,-21.52657330591041,chaos
2026-07-01,000513.SZ,38.7,50.0,30.0,77.8,50.0,C,-,1.888694778733413,chaos
2026-07-01,000513.SZ,38.7,50.0,30.0,77.8,50.0,C,-,1.888694778733413,chaos
2026-07-01,000516.SZ,33.1,30.0,30.0,87.2,44.3,C,-,-2.255692180601254,chaos
2026-07-01,000516.SZ,33.1,30.0,30.0,87.2,44.3,C,-,-2.255692180601254,chaos
2026-07-01,000519.SZ,29.4,40.0,45.0,83.0,52.5,C,-,-9.626709316635807,chaos
2026-07-01,000519.SZ,29.4,40.0,45.0,83.0,52.5,C,-,-9.626709316635807,chaos
