ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,shares,net_pnl,profit_pct,entry_score,exit_reason,entry_season,exit_season
000852.SZ,2025-01-03,2025-01-10,5,7.48,6.55,13300,-12929,-12.43,69.2,STOP_LOSS,chaos,chaos
001222.SZ,2025-01-03,2025-01-10,5,16.84,15.39,5900,-9125,-8.61,67.7,SCORE_DROP,chaos,chaos
000913.SZ,2025-01-07,2025-01-13,4,19.02,16.48,5200,-13762,-13.35,65.9,STOP_LOSS,chaos_autumn,chaos
688800.SH,2025-01-07,2025-01-27,14,65.0,67.61,1500,3318,4.02,68.0,SCORE_DROP,chaos_autumn,chaos
300570.SZ,2025-01-02,2025-02-05,18,80.35,95.75,1200,17846,19.17,68.9,SCORE_DROP,chaos,chaos
300476.SZ,2025-01-10,2025-02-05,12,48.78,45.3,2000,-7524,-7.13,66.3,SCORE_DROP,chaos,chaos
002050.SZ,2025-01-10,2025-02-13,18,26.7,32.4,3700,20434,21.35,68.1,SCORE_DROP,chaos,chaos_spring
002861.SZ,2025-01-27,2025-02-17,9,16.61,14.98,6000,-10349,-9.81,76.0,SCORE_DROP,chaos,chaos_spring
000532.SZ,2025-01-27,2025-02-24,14,14.62,16.48,6700,11837,12.72,73.8,SCORE_DROP,chaos,chaos_spring
000558.SZ,2025-02-13,2025-02-28,11,3.71,3.36,26900,-9986,-9.43,81.8,SCORE_DROP,chaos_spring,chaos
000415.SZ,2025-02-17,2025-02-28,9,3.65,3.4,27300,-7402,-6.85,75.7,SCORE_DROP,chaos_spring,chaos
300223.SZ,2025-02-05,2025-03-11,24,73.37,82.21,1300,10885,12.05,83.6,SCORE_DROP,chaos,chaos
000729.SZ,2025-01-02,2025-03-14,45,11.94,12.21,8300,1640,2.26,79.4,MAX_HOLD,chaos,chaos
605060.SH,2025-01-02,2025-03-14,45,17.96,21.14,5500,16845,17.71,70.5,MAX_HOLD,chaos,chaos
603629.SH,2025-01-02,2025-03-14,45,19.82,35.05,5000,75327,76.84,68.7,MAX_HOLD,chaos,chaos
002580.SZ,2025-01-02,2025-03-14,45,8.57,15.28,11600,77006,78.3,65.3,MAX_HOLD,chaos,chaos
002371.SZ,2025-01-07,2025-03-19,45,390.67,434.97,200,8365,11.34,66.7,MAX_HOLD,chaos_autumn,chaos_spring
