ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,profit_pct,entry_score,exit_reason,entry_season,exit_season
603223.SH,2025-01-02,2025-01-03,1,10.38,9.84,-5.5,63.6,SCORE_DROP,chaos,chaos
688800.SH,2025-01-02,2025-01-03,1,52.59,53.4,1.24,57.8,SCORE_DROP,chaos,chaos
603228.SH,2025-01-02,2025-01-03,1,27.53,26.31,-4.73,57.5,SCORE_DROP,chaos,chaos
688521.SH,2025-01-02,2025-01-03,1,50.58,47.52,-6.35,56.7,SCORE_DROP,chaos,chaos
002335.SZ,2025-01-02,2025-01-03,1,26.94,26.66,-1.34,56.5,SCORE_DROP,chaos,chaos
301071.SZ,2025-01-02,2025-01-06,2,37.67,32.93,-12.88,65.2,STOP_LOSS,chaos,chaos_autumn
300042.SZ,2025-01-02,2025-01-06,2,23.79,20.51,-14.09,58.5,STOP_LOSS,chaos,chaos_autumn
300757.SZ,2025-01-02,2025-01-06,2,215.66,160.0,-26.11,55.0,STOP_LOSS,chaos,chaos_autumn
603236.SH,2025-01-02,2025-01-07,3,68.68,62.39,-9.46,64.9,SCORE_DROP,chaos,chaos_autumn
000619.SZ,2025-01-03,2025-01-08,3,6.99,6.71,-4.31,58.2,SCORE_DROP,chaos,chaos_autumn
301071.SZ,2025-01-07,2025-01-08,1,35.68,34.43,-3.8,58.7,SCORE_DROP,chaos_autumn,chaos_autumn
600172.SH,2025-01-02,2025-01-10,6,4.44,4.28,-3.9,60.5,SCORE_DROP,chaos,chaos
000852.SZ,2025-01-02,2025-01-10,6,6.8,6.55,-3.98,59.5,SCORE_DROP,chaos,chaos
688188.SH,2025-01-02,2025-01-10,6,189.18,178.8,-5.79,55.3,SCORE_DROP,chaos,chaos
000913.SZ,2025-01-02,2025-01-10,6,17.7,17.02,-4.14,55.1,SCORE_DROP,chaos,chaos
001222.SZ,2025-01-03,2025-01-10,5,16.84,15.39,-8.91,67.7,SCORE_DROP,chaos,chaos
301165.SZ,2025-01-08,2025-01-10,2,71.5,64.11,-10.64,55.3,SCORE_DROP,chaos_autumn,chaos
000007.SZ,2025-01-09,2025-01-10,1,7.13,6.77,-5.35,60.6,SCORE_DROP,chaos_autumn,chaos
000938.SZ,2025-01-09,2025-01-10,1,25.74,24.68,-4.42,57.1,SCORE_DROP,chaos_autumn,chaos
002357.SZ,2025-01-09,2025-01-10,1,7.2,6.89,-4.61,55.0,SCORE_DROP,chaos_autumn,chaos
002518.SZ,2025-01-06,2025-01-13,5,23.78,22.1,-7.36,56.8,SCORE_DROP,chaos_autumn,chaos
002335.SZ,2025-01-07,2025-01-13,4,29.85,27.13,-9.41,62.0,SCORE_DROP,chaos_autumn,chaos
300308.SZ,2025-01-07,2025-01-13,4,128.35,110.8,-13.97,55.9,STOP_LOSS,chaos_autumn,chaos
301377.SZ,2025-01-09,2025-01-13,2,24.3,21.32,-12.56,69.0,STOP_LOSS,chaos_autumn,chaos
301176.SZ,2025-01-09,2025-01-13,2,19.14,17.46,-9.08,58.1,SCORE_DROP,chaos_autumn,chaos
002156.SZ,2025-01-09,2025-01-13,2,27.54,27.19,-1.57,56.8,SCORE_DROP,chaos_autumn,chaos
001328.SZ,2025-01-03,2025-01-15,8,34.93,34.65,-1.1,59.9,SCORE_DROP,chaos,chaos
000333.SZ,2025-01-02,2025-01-16,10,75.32,74.09,-1.93,56.9,SCORE_DROP,chaos,chaos
300476.SZ,2025-01-07,2025-01-16,7,45.58,46.74,2.24,60.3,SCORE_DROP,chaos_autumn,chaos
300827.SZ,2025-01-08,2025-01-16,6,45.66,43.19,-5.71,59.0,SCORE_DROP,chaos_autumn,chaos
300693.SZ,2025-01-09,2025-01-16,5,28.75,27.21,-5.66,59.8,SCORE_DROP,chaos_autumn,chaos
301377.SZ,2025-01-13,2025-01-16,3,21.32,21.47,0.4,55.2,SCORE_DROP,chaos,chaos
688126.SH,2025-01-14,2025-01-20,4,19.35,17.87,-7.95,59.6,SCORE_DROP,chaos,chaos
000421.SZ,2025-01-13,2025-01-21,6,7.13,6.42,-10.26,66.8,SCORE_DROP,chaos,chaos
301511.SZ,2025-01-13,2025-01-21,6,15.89,15.36,-3.64,55.3,SCORE_DROP,chaos,chaos
000055.SZ,2025-01-14,2025-01-21,5,4.29,4.02,-6.59,60.2,SCORE_DROP,chaos,chaos
300474.SZ,2025-01-15,2025-01-21,4,92.43,89.26,-3.73,55.1,SCORE_DROP,chaos,chaos
600172.SH,2025-01-20,2025-01-21,1,4.3,4.18,-3.09,56.1,SCORE_DROP,chaos,chaos
000519.SZ,2025-01-13,2025-01-22,7,14.23,13.71,-3.95,57.7,SCORE_DROP,chaos,chaos
000430.SZ,2025-01-15,2025-01-22,5,7.45,6.63,-11.31,70.5,SCORE_DROP,chaos,chaos
300827.SZ,2025-01-20,2025-01-22,2,47.6,41.48,-13.16,65.6,STOP_LOSS,chaos,chaos
301071.SZ,2025-01-20,2025-01-22,2,34.69,33.7,-3.15,59.4,SCORE_DROP,chaos,chaos
002344.SZ,2025-01-20,2025-01-22,2,4.34,4.2,-3.53,55.4,SCORE_DROP,chaos,chaos
300274.SZ,2025-01-20,2025-01-22,2,77.37,73.65,-5.11,55.2,SCORE_DROP,chaos,chaos
001696.SZ,2025-01-21,2025-01-22,1,22.69,22.18,-2.55,58.9,SCORE_DROP,chaos,chaos
688158.SH,2025-01-21,2025-01-22,1,13.43,13.23,-1.79,58.2,SCORE_DROP,chaos,chaos
688150.SH,2025-01-21,2025-01-22,1,20.78,19.95,-4.29,55.1,SCORE_DROP,chaos,chaos
688362.SH,2025-01-08,2025-01-23,11,33.8,30.41,-10.33,70.7,SCORE_DROP,chaos_autumn,chaos
688037.SH,2025-01-15,2025-01-23,6,79.29,75.92,-4.55,58.8,SCORE_DROP,chaos,chaos
603223.SH,2025-01-16,2025-01-23,5,10.16,9.43,-7.49,62.0,SCORE_DROP,chaos,chaos
